task,model,label,rows_compared,accuracy,precision,recall,f1,support,predicted_positive,tp,tn,fp,fn
shopping_ebay_chat,gpt-oss,CI,547,0.9506398537477148,0.07692307692307693,0.4,0.12903225806451613,5.0,26.0,2.0,518.0,24.0,3.0
shopping_ebay_chat,gpt-oss,BI,547,0.9853747714808044,0.0,0.0,0.0,4.0,4.0,0.0,539.0,4.0,4.0
shopping_ebay_chat,mistral,CE,547,0.6142595978062158,0.7061855670103093,0.47079037800687284,0.5649484536082474,291.0,194.0,137.0,199.0,57.0,154.0
shopping_ebay_chat,mistral,BE,547,0.6014625228519196,0.5546218487394958,0.9777777777777777,0.707774798927614,270.0,476.0,264.0,65.0,212.0,6.0
shopping_ebay_chat,mistral,CI,547,0.9524680073126143,0.0,0.0,0.0,5.0,21.0,0.0,521.0,21.0,5.0
shopping_ebay_chat,mistral,BI,547,0.9287020109689214,0.0,0.0,0.0,4.0,35.0,0.0,508.0,35.0,4.0
shopping_ebay_chat,nemotron,CE,547,0.8391224862888482,0.8029850746268656,0.9243986254295533,0.8594249201277956,291.0,335.0,269.0,190.0,66.0,22.0
shopping_ebay_chat,nemotron,BE,547,0.8519195612431444,0.8269896193771626,0.8851851851851852,0.8550983899821109,270.0,289.0,239.0,227.0,50.0,31.0
shopping_ebay_chat,nemotron,CI,547,0.9085923217550275,0.04081632653061224,0.4,0.07407407407407406,5.0,49.0,2.0,495.0,47.0,3.0
shopping_ebay_chat,nemotron,BI,547,0.9725776965265083,0.0,0.0,0.0,4.0,11.0,0.0,532.0,11.0,4.0
shopping_ebay_chat,qwen,CE,547,0.8555758683729433,0.797752808988764,0.9759450171821306,0.8778979907264296,291.0,356.0,284.0,184.0,72.0,7.0
shopping_ebay_chat,qwen,BE,547,0.8427787934186471,0.9339622641509434,0.7333333333333333,0.8215767634854771,270.0,212.0,198.0,263.0,14.0,72.0
shopping_ebay_chat,qwen,CI,547,0.9853747714808044,0.0,0.0,0.0,5.0,3.0,0.0,539.0,3.0,5.0
shopping_ebay_chat,qwen,BI,547,0.9926873857404022,0.0,0.0,0.0,4.0,0.0,0.0,543.0,0.0,4.0
